Ticker,Accuracy,Avg_Confidence,Predictions
BHARTIARTL.NS,0.735,0.626,615
EICHERMOT.NS,0.73,0.621,618
HINDALCO.NS,0.727,0.613,616
JSWSTEEL.NS,0.662,0.66,618
APOLLOHOSP.NS,0.657,0.647,618
BRITANNIA.NS,0.652,0.621,612
GRASIM.NS,0.65,0.664,618
COALINDIA.NS,0.644,0.662,596
TATASTEEL.NS,0.639,0.69,618
SBIN.NS,0.633,0.608,599
M&M.NS,0.633,0.657,600
LT.NS,0.631,0.687,612
NTPC.NS,0.628,0.679,600
HCLTECH.NS,0.628,0.684,616
SBILIFE.NS,0.625,0.637,618
BPCL.NS,0.618,0.63,573
DIVISLAB.NS,0.613,0.613,617
HDFCBANK.NS,0.612,0.582,608
ONGC.NS,0.595,0.669,603
TECHM.NS,0.591,0.691,609
TITAN.NS,0.591,0.668,618
POWERGRID.NS,0.582,0.71,605
ULTRACEMCO.NS,0.575,0.662,617
BAJAJ-AUTO.NS,0.569,0.63,596
NESTLEIND.NS,0.567,0.646,617
BAJAJFINSV.NS,0.562,0.676,617
UPL.NS,0.556,0.644,612
MARUTI.NS,0.555,0.665,618
HEROMOTOCO.NS,0.554,0.596,610
INDUSINDBK.NS,0.554,0.719,558
INFY.NS,0.554,0.697,605
TATACONSUM.NS,0.55,0.664,618
AXISBANK.NS,0.55,0.649,618
ICICIBANK.NS,0.549,0.632,618
WIPRO.NS,0.548,0.678,611
ADANIPORTS.NS,0.538,0.675,582
BAJFINANCE.NS,0.536,0.657,618
SUNPHARMA.NS,0.531,0.638,618
SHREECEM.NS,0.516,0.606,612
HDFCLIFE.NS,0.497,0.658,616
DRREDDY.NS,0.495,0.675,618
KOTAKBANK.NS,0.484,0.617,614
RELIANCE.NS,0.482,0.653,618
HINDUNILVR.NS,0.481,0.661,618
CIPLA.NS,0.481,0.644,617
ASIANPAINT.NS,0.472,0.668,612
TCS.NS,0.435,0.679,612
ITC.NS,0.427,0.686,613
