Fold,Train End,Test Period,Train Size,Test Size,Dir Accuracy
1,2016-02-08,2016-02-09 → 2016-08-08,33115,5546,0.6033177064551027
2,2016-08-08,2016-08-09 → 2017-02-08,38661,5620,0.5813167259786477
3,2017-02-08,2017-02-09 → 2017-08-08,44281,5599,0.3706018931952134
4,2017-08-08,2017-08-09 → 2018-02-08,49880,5693,0.49604777797294924
5,2018-02-08,2018-02-09 → 2018-08-08,55573,5680,0.5825704225352113
6,2018-08-08,2018-08-09 → 2019-02-08,61253,5519,0.5013589418372894
7,2019-02-08,2019-02-09 → 2019-08-08,66772,5441,0.6416099981621025
8,2019-08-08,2019-08-09 → 2020-02-08,72213,5434,0.5583364004416635
9,2020-02-08,2020-02-09 → 2020-08-08,77647,4720,0.7370762711864407
10,2020-08-08,2020-08-09 → 2021-02-08,82367,5596,0.4631879914224446
11,2021-02-08,2021-02-09 → 2021-08-08,87963,5673,0.6010928961748634
12,2021-08-08,2021-08-09 → 2022-02-08,93636,5949,0.48663640948058495
13,2022-02-08,2022-02-09 → 2022-08-08,99585,5737,0.6245424437859508
14,2022-08-08,2022-08-09 → 2023-02-08,105322,5957,0.5890548934027194
15,2023-02-08,2023-02-09 → 2023-08-08,111279,5843,0.4381310970391922
16,2023-08-08,2023-08-09 → 2024-02-08,117122,5812,0.6768754301445286
17,2024-02-08,2024-02-09 → 2024-08-08,122934,5691,0.6642066420664207
18,2024-08-08,2024-08-09 → 2025-02-08,128625,6017,0.39188964600299153
19,2025-02-08,2025-02-09 → 2025-08-08,134642,5869,0.5304140398705061
20,2025-08-08,2025-08-09 → 2026-02-08,140511,5867,0.4901994204874723
