fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate,LightGBM_top10_return,LightGBM_bot10_return,LightGBM_ls_spread,LightGBM_n_stocks,XGBoost_rank_ic,XGBoost_hit_rate,XGBoost_top10_return,XGBoost_bot10_return,XGBoost_ls_spread,XGBoost_n_stocks,RandomForest_rank_ic,RandomForest_hit_rate,RandomForest_top10_return,RandomForest_bot10_return,RandomForest_ls_spread,RandomForest_n_stocks,Ensemble_rank_ic,Ensemble_hit_rate,Ensemble_top10_return,Ensemble_bot10_return,Ensemble_ls_spread,Ensemble_n_stocks
1,2016-03,46,0.027751114084171892,0.09947579401788467,0.7,0.046256248513371914,0.03383368022100953,0.012422568292362386,46,0.08171446191797718,0.7,0.049323969798227243,0.047874906220971285,0.0014490635772559587,46,0.0068455134135060125,0.6,0.004617961561547719,0.024481069560702635,-0.019863107999154916,46,0.10268270120259018,0.7,0.04867096777424536,0.02703504897169095,0.02163591880255441,46
2,2016-04,46,0.03881352735889965,-0.08849830403946961,0.5,-0.004534272489751641,0.012748337004013729,-0.01728260949376537,46,-0.10995991366019119,0.7,0.024986889290196913,0.05749765172959438,-0.03251076243939747,46,-0.007338883749614554,0.7,0.03108670242973014,0.05066312173526612,-0.019576419305535976,46,-0.054209065679926,0.5,0.014337734593315688,0.04219966141322746,-0.027861926819911773,46
3,2016-05,46,0.0739034093557742,-0.21973481344434165,0.9,0.06292297577096191,0.07393198281024024,-0.011009007039278332,46,-0.1560900400863398,0.8,0.06821839310817307,0.08835997344004047,-0.0201415803318674,46,0.09762565525747763,0.8,0.08483346981137939,0.08256040061327237,0.0022730691981070195,46,-0.19222941720629044,0.9,0.08967166331546508,0.08885864006043591,0.0008130232550291744,46
4,2016-06,46,0.07806144247902785,0.20222016651248842,0.8,0.10867123461179791,0.046638713572861375,0.062032521038936535,46,0.3927844588344126,1.0,0.1553238672175088,0.0393538499101946,0.1159700173073142,46,0.5495528831329016,1.0,0.1623221062669452,0.0362830454933208,0.12603906077362442,46,0.42460684551341343,0.9,0.14397854909312652,0.0482554273419707,0.09572312175115583,46
5,2016-07,46,0.027829868968168636,0.2974406413814369,0.9,0.050755226125747566,0.01097450359187711,0.03978072253387045,46,0.31754548257785997,0.8,0.06483597088884514,-0.013275728658396529,0.07811169954724168,46,0.3903176071538698,0.9,0.06432830832070106,-0.023383742034476813,0.08771205035517787,46,0.3255627505396238,1.0,0.0646445289461463,-0.02755543536869055,0.09219996431483686,46
6,2016-08,46,0.0048497252552174444,0.17471477027443724,0.7,0.03424244765716009,-0.012821433627371162,0.047063881284531255,46,0.11970397779833486,0.7,0.03084318884823271,0.0007467011101435106,0.0300964877380892,46,0.3004008633980882,0.7,0.02898339976779733,0.007402514668346613,0.021580885099450716,46,0.19592969472710453,0.7,0.016161168900189142,-0.016244595676690336,0.03240576457687948,46
7,2016-09,46,-0.06212920469914317,-0.18236201048411962,0.2,-0.08066328078239579,-0.02427528501015474,-0.05638799577224105,46,-0.07369719395621338,0.2,-0.08050508609443864,-0.020157136795711288,-0.06034794929872735,46,-0.22281837804502003,0.3,-0.06986005647570889,-0.02667724092244585,-0.043182815553263046,46,-0.15522664199814987,0.2,-0.08050508609443864,-0.03738810314815831,-0.04311698294628033,46
8,2016-10,46,-0.04738134087789096,-0.14449583718778908,0.2,-0.06261233977837957,-0.021083190084618265,-0.04152914969376131,46,-0.0465618254702436,0.3,-0.028713767314227,-0.04474841077086956,0.01603464345664256,46,-0.21036077705827932,0.2,-0.05987000392470598,-0.03312624491399966,-0.026743759010706324,46,-0.1169904409497379,0.2,-0.06261233977837957,-0.019903070868074423,-0.042709268910305145,46
9,2016-11,46,0.011307394585830128,-0.02695035460992908,0.6,-0.003614413792077072,0.003758331221010881,-0.007372745013087953,46,0.004625346901017576,0.5,0.01311008318964319,0.005484737076926949,0.007625346112716241,46,0.2080172679617638,0.5,0.02470247556275732,-0.0012123086018048592,0.02591478416456218,46,0.0010484119642306506,0.5,0.00910045113902586,0.003958817716252631,0.005141633422773228,46
10,2016-12,46,0.09639725514595693,0.289300030835646,0.9,0.15001500454440414,0.07008579477749952,0.07992920976690462,46,0.3802035152636447,0.9,0.12969904227285134,0.06275975661163098,0.06693928566122036,46,0.5094665433240826,0.9,0.16917530550496682,0.03491702501696714,0.13425828048799968,46,0.3708294788775825,0.9,0.13979387604088234,0.06492211183340836,0.07487176420747398,46
11,2017-01,46,0.07058185897362441,0.35047795251310515,0.8,0.10593768678544253,0.055821991600998634,0.0501156951844439,46,0.26734505087881594,0.7,0.09075534697204965,0.029422778235688073,0.06133256873636157,46,0.31569534381745296,0.8,0.09007683405375627,0.022384622006439845,0.06769221204731643,46,0.3381436941103916,0.8,0.10587648959057176,0.04278025446535784,0.06309623512521392,46
12,2017-02,46,0.026559231565686233,-0.05001541782300339,0.8,0.0451065508983152,0.03412119651827835,0.010985354380036852,46,0.06629663891458526,0.8,0.04291804531375635,0.021264990209900043,0.021653055103856306,46,0.2746222633364169,0.7,0.038146052091280955,-0.013943714661619689,0.05208976675290064,46,0.06567992599444958,0.8,0.04133182851061446,0.01685183091549544,0.02447999759511902,46
13,2017-03,46,0.04991115938728706,0.2788159111933395,0.9,0.0785115116859073,0.014128016163360933,0.06438349552254637,46,0.3152019734813444,0.8,0.06472402381807472,0.016257799536561635,0.04846622428151309,46,0.5119333950046253,1.0,0.08666454435642698,0.0022848263228707104,0.08437971803355628,46,0.3296330558125193,0.9,0.06560711485462334,0.006113272295649423,0.059493842558973914,46
14,2017-04,46,0.026908187392228798,0.12488436632747454,0.6,0.021778103185254173,-0.013702756457772853,0.035480859643027024,46,0.24279987665741595,0.7,0.04395729695936409,0.006929754527531029,0.03702754243183306,46,0.017699660807893924,0.7,0.033493872441291914,0.026449471017156927,0.007044401424134986,46,0.1623805118717237,0.5,0.02552599752759992,1.4180116169928286e-05,0.025511817411429993,46
15,2017-05,46,0.043131907757117775,0.1411655874190564,0.8,0.07175887251654034,0.0430178485548824,0.02874102396165794,46,0.16817761332099906,0.9,0.06890059006355143,0.04539083581915486,0.023509754244396566,46,0.2387295713845205,1.0,0.07511439074469813,0.031051072938035672,0.04406331780666245,46,0.1738513721862473,0.9,0.07572772236808215,0.0435470337011085,0.03218068866697364,46
16,2017-06,46,0.04319178266430648,0.003638606228800493,0.8,0.03661062969105462,0.014384651627981786,0.022225978063072836,46,0.19876657415972862,0.8,0.06928168143795478,-0.006086918313942679,0.07536859975189746,46,0.3766265803268578,0.9,0.10350539197904625,-0.01656281307983599,0.12006820505888224,46,0.18482886216466235,0.8,0.055360042724634476,-0.009117419113033898,0.06447746183766838,46
17,2017-07,46,0.03760352896014248,0.2775824853530681,0.9,0.09137540116132944,0.0211198703545216,0.07025553080680785,46,0.31396854764107307,0.9,0.09955664617436875,0.042569631332407404,0.05698701484196135,46,0.5512796793092815,0.9,0.11214782642106735,-0.02122767317653449,0.13337549959760184,46,0.3563983965464076,0.9,0.10284186941207349,0.012780516241775008,0.09006135317029848,46
18,2017-08,46,0.03890919417358605,-0.11403021893308664,0.5,0.026733051160467657,0.04977828823518822,-0.023045237074720563,46,0.20752389762565526,0.7,0.06046241301260937,0.0067984983107235,0.05366391470188587,46,-0.020659882824545173,0.6,0.03896610052770868,0.0496222153037303,-0.010656114776021623,46,0.048165279062596364,0.7,0.04407577847776743,0.04946731643826152,-0.005391537960494089,46
19,2017-09,46,0.06272486628166032,-0.13142152328091272,0.7,0.0353108293576051,0.07049680810668321,-0.03518597874907811,46,-0.11020659882824546,0.8,0.07221120898868819,0.08321407085832798,-0.011002861869639793,46,-0.07443724946037619,0.7,0.08072181455332546,0.087293958553635,-0.006572144000309546,46,-0.12303422756706751,0.8,0.08853114748305305,0.10596318409677301,-0.01743203661371996,46
20,2017-10,46,0.004518534577474025,-0.15769349367869254,0.4,-0.004398938807234841,0.0475865435903571,-0.05198548239759194,46,-0.15596669750231265,0.4,-0.0086696908266833,0.0003387837970307207,-0.009008474623714022,46,0.10329941412272586,0.5,0.04588800684294072,-0.008569227357122122,0.05445723420006284,46,-0.1345050878815911,0.4,-0.008669690826683302,0.014195273081250171,-0.022864963907933473,46
21,2017-11,46,0.049190279067096464,-0.039901325932778293,0.7,0.04081237943121518,0.04921947291493978,-0.0084070934837246,46,0.07838421214924453,0.9,0.07165682111656532,0.0465550768922099,0.025101744224355425,46,0.07912426765340734,0.9,0.06376440331766668,0.049332204065346955,0.014432199252319727,46,0.009682392846130126,0.7,0.04809592336774919,0.05121369530841806,-0.0031177719406688675,46
22,2017-12,46,-0.013171674882177133,-0.12846130126426147,0.2,-0.03708829376993132,0.00937966353484272,-0.046467957304774044,46,-0.14992291088498305,0.3,-0.032109035314497006,0.013170459759806238,-0.04527949507430325,46,-0.36293555349984574,0.3,-0.049361609050296976,0.03878776594584981,-0.08814937499614678,46,-0.19420289855072462,0.2,-0.03708829376993132,-0.002284974936192172,-0.03480331883373915,46
23,2018-01,46,-0.049574301770367785,0.09898242368177614,0.4,-0.03800689583718794,-0.04177526949704592,0.0037683736598579792,46,0.009065679925994448,0.4,-0.036489838486956465,-0.03933042729250305,0.002840588805546586,46,0.0011717545482577859,0.3,-0.050398147321074636,-0.05310175664571365,0.0027036093246390128,46,0.02189330866481653,0.3,-0.04879714086610504,-0.0491592061322413,0.00036206526613626056,46
24,2018-02,46,0.01970048087999154,0.25587419056429234,0.9,0.052215030900124096,0.02313232202115733,0.029082708878966766,46,0.22220166512488432,0.8,0.07269425720305063,0.02664216218202837,0.04605209502102226,46,0.03188405797101449,0.6,0.035202639616970524,0.033881923938661004,0.0013207156783095197,46,0.23823620104841195,0.9,0.07511079981148469,0.03379995635439848,0.04131084345708621,46
25,2018-03,46,0.05595792635071558,-0.13684859697810667,0.7,0.040070833582931356,0.06458345773943894,-0.02451262415650758,46,-0.10181930311440024,0.8,0.04425590375513864,0.056849845726765026,-0.012593941971626388,46,-0.1288313290163429,0.7,0.0431843112697945,0.050987393021431016,-0.007803081751636513,46,-0.09355534998458218,0.7,0.04420387429139407,0.05823114893533686,-0.014027274643942787,46
26,2018-04,46,0.001660216552271592,-0.009065679925994448,0.5,0.006086524528947291,0.01968910829619094,-0.013602583767243649,46,0.04841196423065063,0.7,0.029531537388627564,-0.0027797571481375295,0.032311294536765095,46,0.0856614246068455,0.7,0.031318471748575084,0.00039044445252771066,0.030928027296047374,46,-0.004748689485044712,0.5,0.006086524528947291,0.008000141369733848,-0.0019136168407865575,46
27,2018-05,46,0.015806357251170338,-0.03089731729879741,0.5,0.037554645043567855,0.030539241241089067,0.007015403802478788,46,-0.0004316990440949738,0.4,0.03277341704433166,-0.006679680812693769,0.03945309785702543,46,-0.20789392537773665,0.4,0.017491206028323037,0.025691645182233068,-0.008200439153910031,46,-0.051618871415356156,0.3,0.008680383808980344,0.02283363087076128,-0.014153247061780935,46
28,2018-06,46,0.05144235066671429,0.0065988282454517416,0.8,0.04860604245279911,0.024719425843997604,0.02388661660880151,46,0.13117483811285846,0.8,0.06319180830766516,0.044404840794787986,0.018786967512877173,46,0.04224483502929386,0.7,0.04911503816968944,0.03620074325201526,0.01291429491767418,46,0.0831945729263028,0.8,0.07065778065472769,0.03486049936828363,0.03579728128644406,46
29,2018-07,46,0.045823698344993016,-0.034227567067530065,0.5,0.048626824361476625,0.059252000726598995,-0.01062517636512237,46,-0.08541473943879124,0.5,0.04476569958883968,0.057517446649953785,-0.012751747061114108,46,-0.21208757323465927,0.4,0.03211896035568972,0.0595567599931527,-0.027437799637462977,46,-0.05408572309589886,0.4,0.03131821082632893,0.0658452467731316,-0.03452703594680267,46
30,2018-08,46,-0.10197246995370846,-0.44890533456675913,0.0,-0.136344916876691,-0.06060132340611254,-0.07574359347057846,46,-0.43077397471477025,0.0,-0.15739140422579018,-0.06808349626297687,-0.08930790796281331,46,-0.4320074005550416,0.0,-0.1347082525297108,-0.07205530975673051,-0.0626529427729803,46,-0.48862164662349666,0.0,-0.1450424352670186,-0.045194999523716334,-0.09984743574330227,46
31,2018-09,46,-0.02434058374820182,0.3186555658341042,0.6,0.013846524267524968,-0.062480389847074304,0.07632691411459927,46,0.43472093740363854,0.5,0.00907675073223789,-0.06499432756449915,0.07407107829673704,46,0.3584952204748689,0.6,0.0011553901902453395,-0.08999615907945409,0.09115154926969943,46,0.41991982732038236,0.6,0.01945344232868843,-0.07753935668393083,0.09699279901261926,46
32,2018-10,46,0.04470207677727112,0.11341350601295097,0.6,0.03391565713838611,0.012625078237724418,0.021290578900661692,46,0.13253160653715695,0.6,0.028727897076916375,-0.00811985955219292,0.036847756629109295,46,0.32346592661116247,0.7,0.06204531089093053,-0.03676213351093014,0.09880744440186068,46,0.21159420289855074,0.6,0.013037664350380871,-0.03592736989118781,0.048965034241568686,46
33,2018-11,46,-0.01676187361277861,0.00018501387604070305,0.4,-0.02353483071122186,-0.019004442682718815,-0.0045303880285030435,46,-0.08973172987974098,0.4,-0.03245614985726734,-0.0160180266929696,-0.016438123164297738,46,0.031514030218933085,0.6,-0.022015860665005976,-0.01482045168682013,-0.007195408978185845,46,-0.03595436324390996,0.4,-0.031395371075991295,-0.019993021355074397,-0.011402349720916898,46
34,2018-12,46,-0.020511882559838365,0.08504471168670984,0.3,-0.01786474404096202,-0.015357655011240978,-0.002507089029721042,46,0.08048103607770582,0.3,-0.016094444178356905,-0.037143620773806854,0.02104917659544995,46,0.11526364477335797,0.5,-0.0011269142253836502,-0.023471258269148632,0.022344344043764983,46,0.1396854764107308,0.4,0.014358386824605959,-0.0494058590070108,0.06376424583161676,46
35,2019-01,46,0.06316405460995868,-0.05346901017576317,0.8,0.06782438109170016,0.08234426657749135,-0.014519885485791181,46,0.15806352143077398,0.9,0.06778505519986491,0.06471115765302557,0.0030738975468393437,46,0.21554116558741904,0.9,0.10316365228806708,0.0755776300710165,0.027586022217050574,46,0.044711686709836565,0.9,0.07604185010749612,0.05736509295184398,0.01867675715565214,46
