fold,test_month,n_stocks,nifty_return,regime,avg_pairwise_corr,position_scale,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_return_gross,LightGBM_top10_return_net,LightGBM_bot10_return_gross,LightGBM_bot10_return_net,LightGBM_ls_spread_gross,LightGBM_ls_spread_net,LightGBM_turnover,LightGBM_cost_drag,LightGBM_position_scale,LightGBM_n_stocks,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_return_gross,XGBoost_top10_return_net,XGBoost_bot10_return_gross,XGBoost_bot10_return_net,XGBoost_ls_spread_gross,XGBoost_ls_spread_net,XGBoost_turnover,XGBoost_cost_drag,XGBoost_position_scale,XGBoost_n_stocks,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_return_gross,RandomForest_top10_return_net,RandomForest_bot10_return_gross,RandomForest_bot10_return_net,RandomForest_ls_spread_gross,RandomForest_ls_spread_net,RandomForest_turnover,RandomForest_cost_drag,RandomForest_position_scale,RandomForest_n_stocks,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_return_gross,Ensemble_top10_return_net,Ensemble_bot10_return_gross,Ensemble_bot10_return_net,Ensemble_ls_spread_gross,Ensemble_ls_spread_net,Ensemble_turnover,Ensemble_cost_drag,Ensemble_position_scale,Ensemble_n_stocks
1,2016-03,46,0.027751114084171892,normal,-0.0272,1.0,0.09947579401788467,70.0,0.046256248513371914,0.04325624851337191,0.03383368022100953,0.03683368022100953,0.012422568292362386,0.006422568292362381,1.0,0.003,1.0,46,0.08171446191797718,70.0,0.049323969798227243,0.04632396979822724,0.047874906220971285,0.05087490622097129,0.0014490635772559587,-0.004550936422744047,1.0,0.003,1.0,46,0.0068455134135060125,60.0,0.004617961561547719,0.0016179615615477191,0.024481069560702635,0.027481069560702634,-0.019863107999154916,-0.025863107999154915,1.0,0.003,1.0,46,0.10268270120259018,70.0,0.04867096777424536,0.045670967774245355,0.02703504897169095,0.030035048971690948,0.02163591880255441,0.015635918802554407,1.0,0.003,1.0,46
2,2016-04,46,0.03881352735889965,normal,-0.0165,1.0,-0.08849830403946961,50.0,-0.004534272489751641,-0.0060342724897516405,0.012748337004013729,0.015148337004013728,-0.01728260949376537,-0.021182609493765367,0.65,0.0015,1.0,46,-0.10995991366019119,70.0,0.024986889290196913,0.023786889290196914,0.05749765172959438,0.05959765172959438,-0.03251076243939747,-0.035810762439397466,0.55,0.0012000000000000001,1.0,46,-0.007338883749614554,70.0,0.03108670242973014,0.02928670242973014,0.05066312173526612,0.05186312173526612,-0.019576419305535976,-0.022576419305535975,0.5,0.0018,1.0,46,-0.054209065679926,50.0,0.014337734593315688,0.013437734593315688,0.04219966141322746,0.04399966141322746,-0.027861926819911773,-0.030561926819911774,0.44999999999999996,0.0009,1.0,46
3,2016-05,46,0.0739034093557742,normal,-0.0134,1.0,-0.21973481344434165,90.0,0.06292297577096191,0.060822975770961914,0.07393198281024024,0.07663198281024024,-0.011009007039278332,-0.015809007039278324,0.8,0.0021,1.0,46,-0.1560900400863398,80.0,0.06821839310817307,0.06551839310817308,0.08835997344004047,0.09105997344004046,-0.0201415803318674,-0.02554158033186739,0.9,0.0027,1.0,46,0.09762565525747763,80.0,0.08483346981137939,0.08243346981137939,0.08256040061327237,0.08496040061327237,0.0022730691981070195,-0.0025269308018929793,0.8,0.0024000000000000002,1.0,46,-0.19222941720629044,90.0,0.08967166331546508,0.08727166331546508,0.08885864006043591,0.0915586400604359,0.0008130232550291744,-0.004286976744970819,0.8500000000000001,0.0024000000000000002,1.0,46
4,2016-06,46,0.07806144247902785,normal,-0.0152,1.0,0.20222016651248842,80.0,0.10867123461179791,0.10597123461179792,0.046638713572861375,0.049338713572861376,0.062032521038936535,0.05663252103893654,0.9,0.0027,1.0,46,0.3927844588344126,100.0,0.1553238672175088,0.15262386721750879,0.0393538499101946,0.041753849910194596,0.1159700173073142,0.11087001730731419,0.8500000000000001,0.0027,1.0,46,0.5495528831329016,100.0,0.1623221062669452,0.1596221062669452,0.0362830454933208,0.0386830454933208,0.12603906077362442,0.1209390607736244,0.8500000000000001,0.0027,1.0,46,0.42460684551341343,90.0,0.14397854909312652,0.1412785490931265,0.0482554273419707,0.0512554273419707,0.09572312175115583,0.09002312175115582,0.95,0.0027,1.0,46
5,2016-07,46,0.027829868968168636,normal,-0.0236,1.0,0.2974406413814369,90.0,0.050755226125747566,0.049555226125747566,0.01097450359187711,0.01277450359187711,0.03978072253387045,0.03678072253387046,0.5,0.0012000000000000001,1.0,46,0.31754548257785997,80.0,0.06483597088884514,0.06333597088884514,-0.013275728658396529,-0.01147572865839653,0.07811169954724168,0.07481169954724168,0.55,0.0015,1.0,46,0.3903176071538698,90.0,0.06432830832070106,0.06282830832070106,-0.023383742034476813,-0.021583742034476813,0.08771205035517787,0.08441205035517788,0.55,0.0015,1.0,46,0.3255627505396238,100.0,0.0646445289461463,0.0631445289461463,-0.02755543536869055,-0.02635543536869055,0.09219996431483686,0.08949996431483685,0.45,0.0015,1.0,46
6,2016-08,46,0.0048497252552174444,normal,-0.0094,1.0,0.17471477027443724,70.0,0.03424244765716009,0.03274244765716009,-0.012821433627371162,-0.011021433627371163,0.047063881284531255,0.04376388128453125,0.55,0.0015,1.0,46,0.11970397779833486,70.0,0.03084318884823271,0.02964318884823271,0.0007467011101435106,0.002546701110143511,0.0300964877380892,0.0270964877380892,0.5,0.0012000000000000001,1.0,46,0.3004008633980882,70.0,0.02898339976779733,0.02778339976779733,0.007402514668346613,0.009502514668346613,0.021580885099450716,0.018280885099450715,0.55,0.0012000000000000001,1.0,46,0.19592969472710453,70.0,0.016161168900189142,0.014661168900189142,-0.016244595676690336,-0.014444595676690337,0.03240576457687948,0.02910576457687948,0.55,0.0015,1.0,46
7,2016-09,46,-0.06212920469914317,normal,-0.0207,1.0,-0.18236201048411962,20.0,-0.08066328078239579,-0.08216328078239579,-0.02427528501015474,-0.022775285010154737,-0.05638799577224105,-0.059387995772241055,0.5,0.0015,1.0,46,-0.07369719395621338,20.0,-0.08050508609443864,-0.08170508609443865,-0.020157136795711288,-0.018357136795711288,-0.06034794929872735,-0.06334794929872736,0.5,0.0012000000000000001,1.0,46,-0.22281837804502003,30.0,-0.06986005647570889,-0.07166005647570889,-0.02667724092244585,-0.02517724092244585,-0.043182815553263046,-0.04648281555326304,0.55,0.0018,1.0,46,-0.15522664199814987,20.0,-0.08050508609443864,-0.08170508609443865,-0.03738810314815831,-0.03618810314815831,-0.04311698294628033,-0.045516982946280336,0.4,0.0012000000000000001,1.0,46
8,2016-10,46,-0.04738134087789096,normal,-0.007,1.0,-0.14449583718778908,20.0,-0.06261233977837957,-0.06411233977837957,-0.021083190084618265,-0.018683190084618266,-0.04152914969376131,-0.04542914969376131,0.65,0.0015,1.0,46,-0.0465618254702436,30.0,-0.028713767314227,-0.030813767314227,-0.04474841077086956,-0.04354841077086956,0.01603464345664256,0.012734643456642557,0.55,0.0021,1.0,46,-0.21036077705827932,20.0,-0.05987000392470598,-0.06107000392470598,-0.03312624491399966,-0.03162624491399966,-0.026743759010706324,-0.029443759010706325,0.45,0.0012000000000000001,1.0,46,-0.1169904409497379,20.0,-0.06261233977837957,-0.06411233977837957,-0.019903070868074423,-0.018403070868074422,-0.042709268910305145,-0.04570926891030515,0.5,0.0015,1.0,46
9,2016-11,46,0.011307394585830128,normal,-0.0182,1.0,-0.02695035460992908,60.0,-0.003614413792077072,-0.006014413792077072,0.003758331221010881,0.006158331221010881,-0.007372745013087953,-0.012172745013087953,0.8,0.0024000000000000002,1.0,46,0.004625346901017576,50.0,0.01311008318964319,0.010710083189643189,0.005484737076926949,0.00788473707692695,0.007625346112716241,0.0028253461127162385,0.8,0.0024000000000000002,1.0,46,0.2080172679617638,50.0,0.02470247556275732,0.022902475562757322,-0.0012123086018048592,0.001487691398195141,0.02591478416456218,0.021414784164562183,0.75,0.0018,1.0,46,0.0010484119642306506,50.0,0.00910045113902586,0.006700451139025859,0.003958817716252631,0.006658817716252631,0.005141633422773228,4.1633422773228006e-05,0.8500000000000001,0.0024000000000000002,1.0,46
10,2016-12,46,0.09639725514595693,normal,-0.0185,1.0,0.289300030835646,90.0,0.15001500454440414,0.14821500454440414,0.07008579477749952,0.07218579477749952,0.07992920976690462,0.07602920976690462,0.6499999999999999,0.0018,1.0,46,0.3802035152636447,90.0,0.12969904227285134,0.12759904227285135,0.06275975661163098,0.06425975661163098,0.06693928566122036,0.06333928566122037,0.6,0.0021,1.0,46,0.5094665433240826,90.0,0.16917530550496682,0.16737530550496682,0.03491702501696714,0.03641702501696714,0.13425828048799968,0.13095828048799968,0.55,0.0018,1.0,46,0.3708294788775825,90.0,0.13979387604088234,0.13799387604088234,0.06492211183340836,0.06672211183340836,0.07487176420747398,0.07127176420747398,0.6,0.0018,1.0,46
11,2017-01,46,0.07058185897362441,normal,-0.0233,1.0,0.35047795251310515,80.0,0.10593768678544253,0.10383768678544253,0.055821991600998634,0.05762199160099864,0.0501156951844439,0.04621569518444389,0.6499999999999999,0.0021,1.0,46,0.26734505087881594,70.0,0.09075534697204965,0.08835534697204965,0.029422778235688073,0.031822778235688076,0.06133256873636157,0.056532568736361574,0.8,0.0024000000000000002,1.0,46,0.31569534381745296,80.0,0.09007683405375627,0.08797683405375627,0.022384622006439845,0.024784622006439844,0.06769221204731643,0.06319221204731643,0.75,0.0021,1.0,46,0.3381436941103916,80.0,0.10587648959057176,0.10377648959057176,0.04278025446535784,0.04488025446535784,0.06309623512521392,0.05889623512521392,0.7,0.0021,1.0,46
12,2017-02,46,0.026559231565686233,normal,-0.0068,1.0,-0.05001541782300339,80.0,0.0451065508983152,0.0427065508983152,0.03412119651827835,0.03652119651827835,0.010985354380036852,0.006185354380036853,0.8,0.0024000000000000002,1.0,46,0.06629663891458526,80.0,0.04291804531375635,0.04081804531375635,0.021264990209900043,0.023664990209900042,0.021653055103856306,0.01715305510385631,0.75,0.0021,1.0,46,0.2746222633364169,70.0,0.038146052091280955,0.03634605209128095,-0.013943714661619689,-0.01214371466161969,0.05208976675290064,0.04848976675290064,0.6,0.0018,1.0,46,0.06567992599444958,80.0,0.04133182851061446,0.039231828510614464,0.01685183091549544,0.01925183091549544,0.02447999759511902,0.019979997595119023,0.75,0.0021,1.0,46
13,2017-03,46,0.04991115938728706,normal,-0.0106,1.0,0.2788159111933395,90.0,0.0785115116859073,0.0761115116859073,0.014128016163360933,0.016528016163360932,0.06438349552254637,0.05958349552254637,0.8,0.0024000000000000002,1.0,46,0.3152019734813444,80.0,0.06472402381807472,0.062024023818074724,0.016257799536561635,0.018657799536561635,0.04846622428151309,0.043366224281513086,0.8500000000000001,0.0027,1.0,46,0.5119333950046253,100.0,0.08666454435642698,0.08366454435642698,0.0022848263228707104,0.004384826322870711,0.08437971803355628,0.07927971803355627,0.85,0.003,1.0,46,0.3296330558125193,90.0,0.06560711485462334,0.06290711485462334,0.006113272295649423,0.008513272295649424,0.059493842558973914,0.05439384255897392,0.8500000000000001,0.0027,1.0,46
14,2017-04,46,0.026908187392228798,normal,0.0037,1.0,0.12488436632747454,60.0,0.021778103185254173,0.020278103185254172,-0.013702756457772853,-0.011602756457772853,0.035480859643027024,0.031880859643027025,0.6,0.0015,1.0,46,0.24279987665741595,70.0,0.04395729695936409,0.042157296959364085,0.006929754527531029,0.009029754527531028,0.03702754243183306,0.03312754243183306,0.6499999999999999,0.0018,1.0,46,0.017699660807893924,70.0,0.033493872441291914,0.03199387244129191,0.026449471017156927,0.02854947101715693,0.007044401424134986,0.003444401424134984,0.6,0.0015,1.0,46,0.1623805118717237,50.0,0.02552599752759992,0.02402599752759992,1.4180116169928286e-05,0.002114180116169928,0.025511817411429993,0.02191181741142999,0.6,0.0015,1.0,46
15,2017-05,46,0.043131907757117775,normal,-0.007,1.0,0.1411655874190564,80.0,0.07175887251654034,0.06905887251654035,0.0430178485548824,0.0451178485548824,0.02874102396165794,0.023941023961657946,0.8,0.0027,1.0,46,0.16817761332099906,90.0,0.06890059006355143,0.06650059006355143,0.04539083581915486,0.04749083581915486,0.023509754244396566,0.01900975424439657,0.75,0.0024000000000000002,1.0,46,0.2387295713845205,100.0,0.07511439074469813,0.07301439074469812,0.031051072938035672,0.033151072938035674,0.04406331780666245,0.03986331780666245,0.7,0.0021,1.0,46,0.1738513721862473,90.0,0.07572772236808215,0.07302772236808215,0.0435470337011085,0.0456470337011085,0.03218068866697364,0.02738068866697365,0.8,0.0027,1.0,46
16,2017-06,46,0.04319178266430648,normal,-0.009,1.0,0.003638606228800493,80.0,0.03661062969105462,0.03391062969105462,0.014384651627981786,0.015884651627981788,0.022225978063072836,0.018025978063072833,0.7,0.0027,1.0,46,0.19876657415972862,80.0,0.06928168143795478,0.06658168143795479,-0.006086918313942679,-0.00398691831394268,0.07536859975189746,0.07056859975189747,0.8,0.0027,1.0,46,0.3766265803268578,90.0,0.10350539197904625,0.10110539197904625,-0.01656281307983599,-0.014462813079835992,0.12006820505888224,0.11556820505888224,0.75,0.0024000000000000002,1.0,46,0.18482886216466235,80.0,0.055360042724634476,0.052660042724634475,-0.009117419113033898,-0.007317419113033899,0.06447746183766838,0.059977461837668375,0.75,0.0027,1.0,46
17,2017-07,46,0.03760352896014248,normal,-0.0389,1.0,0.2775824853530681,90.0,0.09137540116132944,0.08927540116132944,0.0211198703545216,0.023519870354521598,0.07025553080680785,0.06575553080680785,0.75,0.0021,1.0,46,0.31396854764107307,90.0,0.09955664617436875,0.09745664617436875,0.042569631332407404,0.0449696313324074,0.05698701484196135,0.052487014841961346,0.75,0.0021,1.0,46,0.5512796793092815,90.0,0.11214782642106735,0.11004782642106735,-0.02122767317653449,-0.01882767317653449,0.13337549959760184,0.12887549959760183,0.75,0.0021,1.0,46,0.3563983965464076,90.0,0.10284186941207349,0.10074186941207348,0.012780516241775008,0.015180516241775008,0.09006135317029848,0.08556135317029848,0.75,0.0021,1.0,46
18,2017-08,46,0.03890919417358605,normal,-0.0301,1.0,-0.11403021893308664,50.0,0.026733051160467657,0.024933051160467658,0.04977828823518822,0.05217828823518822,-0.023045237074720563,-0.02724523707472056,0.7,0.0018,1.0,46,0.20752389762565526,70.0,0.06046241301260937,0.05806241301260937,0.0067984983107235,0.0091984983107235,0.05366391470188587,0.04886391470188587,0.8,0.0024000000000000002,1.0,46,-0.020659882824545173,60.0,0.03896610052770868,0.03626610052770868,0.0496222153037303,0.0517222153037303,-0.010656114776021623,-0.015456114776021622,0.8,0.0027,1.0,46,0.048165279062596364,70.0,0.04407577847776743,0.041975778477767435,0.04946731643826152,0.05186731643826152,-0.005391537960494089,-0.009891537960494086,0.75,0.0021,1.0,46
19,2017-09,46,0.06272486628166032,normal,0.006,1.0,-0.13142152328091272,70.0,0.0353108293576051,0.0335108293576051,0.07049680810668321,0.07229680810668321,-0.03518597874907811,-0.03878597874907811,0.6,0.0018,1.0,46,-0.11020659882824546,80.0,0.07221120898868819,0.07041120898868819,0.08321407085832798,0.08531407085832798,-0.011002861869639793,-0.014902861869639794,0.6499999999999999,0.0018,1.0,46,-0.07443724946037619,70.0,0.08072181455332546,0.07892181455332546,0.087293958553635,0.089693958553635,-0.006572144000309546,-0.010772144000309541,0.7,0.0018,1.0,46,-0.12303422756706751,80.0,0.08853114748305305,0.08673114748305305,0.10596318409677301,0.10836318409677301,-0.01743203661371996,-0.021632036613719957,0.7,0.0018,1.0,46
20,2017-10,46,0.004518534577474025,normal,-0.0165,1.0,-0.15769349367869254,40.0,-0.004398938807234841,-0.006498938807234841,0.0475865435903571,0.0502865435903571,-0.05198548239759194,-0.056785482397591944,0.8,0.0021,1.0,46,-0.15596669750231265,40.0,-0.0086696908266833,-0.0107696908266833,0.0003387837970307207,0.0024387837970307204,-0.009008474623714022,-0.013208474623714021,0.7,0.0021,1.0,46,0.10329941412272586,50.0,0.04588800684294072,0.04378800684294072,-0.008569227357122122,-0.006169227357122122,0.05445723420006284,0.049957234200062844,0.75,0.0021,1.0,46,-0.1345050878815911,40.0,-0.008669690826683302,-0.010769690826683302,0.014195273081250171,0.01659527308125017,-0.022864963907933473,-0.02736496390793347,0.75,0.0021,1.0,46
21,2017-11,46,0.049190279067096464,normal,-0.0159,1.0,-0.039901325932778293,70.0,0.04081237943121518,0.03871237943121518,0.04921947291493978,0.051619472914939776,-0.0084070934837246,-0.012907093483724597,0.75,0.0021,1.0,46,0.07838421214924453,90.0,0.07165682111656532,0.06985682111656533,0.0465550768922099,0.048955076892209896,0.025101744224355425,0.02090174422435543,0.7,0.0018,1.0,46,0.07912426765340734,90.0,0.06376440331766668,0.061664403317666684,0.049332204065346955,0.051732204065346954,0.014432199252319727,0.00993219925231973,0.75,0.0021,1.0,46,0.009682392846130126,70.0,0.04809592336774919,0.04629592336774919,0.05121369530841806,0.05361369530841806,-0.0031177719406688675,-0.00731777194066887,0.7,0.0018,1.0,46
22,2017-12,46,-0.013171674882177133,normal,-0.0165,1.0,-0.12846130126426147,20.0,-0.03708829376993132,-0.03858829376993132,0.00937966353484272,0.011779663534842721,-0.046467957304774044,-0.050367957304774044,0.65,0.0015,1.0,46,-0.14992291088498305,30.0,-0.032109035314497006,-0.033309035314497006,0.013170459759806238,0.015270459759806237,-0.04527949507430325,-0.048579495074303244,0.55,0.0012000000000000001,1.0,46,-0.36293555349984574,30.0,-0.049361609050296976,-0.05086160905029698,0.03878776594584981,0.04058776594584981,-0.08814937499614678,-0.09144937499614679,0.55,0.0015,1.0,46,-0.19420289855072462,20.0,-0.03708829376993132,-0.03858829376993132,-0.002284974936192172,0.00011502506380782831,-0.03480331883373915,-0.03870331883373915,0.65,0.0015,1.0,46
23,2018-01,46,-0.049574301770367785,normal,-0.015,1.0,0.09898242368177614,40.0,-0.03800689583718794,-0.04010689583718794,-0.04177526949704592,-0.03937526949704592,0.0037683736598579792,-0.0007316263401420178,0.75,0.0021,1.0,46,0.009065679925994448,40.0,-0.036489838486956465,-0.03828983848695647,-0.03933042729250305,-0.03753042729250305,0.002840588805546586,-0.0007594111944534201,0.6,0.0018,1.0,46,0.0011717545482577859,30.0,-0.050398147321074636,-0.05219814732107464,-0.05310175664571365,-0.05100175664571365,0.0027036093246390128,-0.001196390675360988,0.6499999999999999,0.0018,1.0,46,0.02189330866481653,30.0,-0.04879714086610504,-0.05059714086610504,-0.0491592061322413,-0.0467592061322413,0.00036206526613626056,-0.003837934733863742,0.7,0.0018,1.0,46
24,2018-02,46,0.01970048087999154,normal,-0.0073,1.0,0.25587419056429234,90.0,0.052215030900124096,0.05041503090012409,0.02313232202115733,0.02463232202115733,0.029082708878966766,0.025782708878966762,0.55,0.0018,1.0,46,0.22220166512488432,80.0,0.07269425720305063,0.07089425720305063,0.02664216218202837,0.028442162182028368,0.04605209502102226,0.04245209502102226,0.6,0.0018,1.0,46,0.03188405797101449,60.0,0.035202639616970524,0.034002639616970524,0.033881923938661004,0.035381923938661006,0.0013207156783095197,-0.0013792843216904813,0.45,0.0012000000000000001,1.0,46,0.23823620104841195,90.0,0.07511079981148469,0.0733107998114847,0.03379995635439848,0.03529995635439848,0.04131084345708621,0.03801084345708621,0.55,0.0018,1.0,46
25,2018-03,46,0.05595792635071558,normal,-0.0222,1.0,-0.13684859697810667,70.0,0.040070833582931356,0.03767083358293136,0.06458345773943894,0.06698345773943894,-0.02451262415650758,-0.02931262415650758,0.8,0.0024000000000000002,1.0,46,-0.10181930311440024,80.0,0.04425590375513864,0.04185590375513864,0.056849845726765026,0.058949845726765024,-0.012593941971626388,-0.017093941971626385,0.75,0.0024000000000000002,1.0,46,-0.1288313290163429,70.0,0.0431843112697945,0.0404843112697945,0.050987393021431016,0.053387393021431015,-0.007803081751636513,-0.012903081751636514,0.8500000000000001,0.0027,1.0,46,-0.09355534998458218,70.0,0.04420387429139407,0.04180387429139407,0.05823114893533686,0.06063114893533686,-0.014027274643942787,-0.018827274643942786,0.8,0.0024000000000000002,1.0,46
