fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_ls_spread_net,LightGBM_turnover,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_ls_spread_net,XGBoost_turnover,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_ls_spread_net,RandomForest_turnover,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_ls_spread_net,Ensemble_turnover
1,2015-03,46,0.013305752464835889,0.3480111008325624,80.0,0.01707066983993394,0.01407066983993394,0.042202678364259616,1.0,0.22799876657415974,80.0,0.023764602257929833,0.020764602257929834,0.020132028651132554,1.0,0.27030527289546713,90.0,0.044352495198634094,0.04135249519863409,0.06181372632664027,1.0,0.3164353993216158,80.0,0.027109513863923927,0.024109513863923928,0.04510373486401245,1.0
2,2015-04,46,-0.0007105840245112321,0.22738205365402403,70.0,0.052533411675345434,0.050583411675345434,0.04626990733559712,0.6499999999999999,0.13561517113783533,70.0,0.035999431871633306,0.033749431871633304,0.036918532066352885,0.75,0.2557508479802652,80.0,0.05313956444895718,0.05103956444895718,0.06258278603077262,0.7,0.20444033302497688,80.0,0.05313956444895718,0.05103956444895718,0.054369913308033244,0.7
3,2015-05,46,0.0036821519722045493,0.18384212149244525,70.0,0.06629470802329405,0.06389470802329406,0.05699284452798664,0.8,0.2821461609620721,70.0,0.0679617839125764,0.0655617839125764,0.0937932614490398,0.8,0.18174529756398397,60.0,0.051278916111069196,0.0488789161110692,0.03226523484044633,0.8,0.23465926611162502,70.0,0.0679617839125764,0.0654117839125764,0.060022019207986305,0.8500000000000001
4,2015-06,46,0.03953679868839952,0.11711378353376502,80.0,0.05776185640694779,0.055511856406947786,0.015776356350882377,0.75,-0.058402713536848595,70.0,0.021396527295308714,0.018996527295308714,-0.050469938726334464,0.8,0.24304656182547024,80.0,0.07501070740963223,0.07261070740963223,0.0561095325348007,0.8,0.10157261794634598,80.0,0.04739028830903395,0.045140288309033945,-0.016826056254755473,0.75
5,2015-07,46,-0.06478229215445168,-0.01868640148011101,20.0,-0.0703384015649945,-0.0721384015649945,-0.0018672401402482913,0.6,0.0625963613937712,20.0,-0.05028123286587732,-0.052531232865877325,0.004718757644721384,0.75,0.12451433857539315,30.0,-0.04676637282702846,-0.04901637282702846,0.016824454203667558,0.75,0.02793709528214616,20.0,-0.05874119496954132,-0.060841194969541317,0.009095294175598699,0.7
6,2015-08,46,0.020440481155317207,0.0032685784767190872,40.0,-0.005798150852085413,-0.007748150852085412,0.00394132984685014,0.6499999999999999,-0.07234042553191489,50.0,-0.002968316413455731,-0.004768316413455731,-0.023405003697895374,0.6,-0.087018193031144,40.0,-0.005671203346108202,-0.007621203346108201,-0.00890628763685622,0.6499999999999999,-0.08442799876657416,50.0,-0.0029683164134557322,-0.004768316413455732,-0.018237687396101966,0.6
7,2015-09,46,-0.008376825318830156,0.23687943262411346,50.0,0.0009401030932527407,-0.00025989690674725944,0.031203711905393384,0.4,0.16546407647240208,60.0,0.020759406762293937,0.019259406762293936,0.06423700590931658,0.5,0.021399938328707985,30.0,-0.04304724967497417,-0.04424724967497417,0.011586050902876573,0.4,0.14671600370027751,40.0,-0.01255209953079581,-0.01375209953079581,0.025304423448098263,0.4
8,2015-10,46,-0.0278204834889899,-0.07752081406105457,20.0,-0.058007754777810824,-0.060257754777810826,-0.033081932278003094,0.75,-0.13771199506629664,20.0,-0.05929765181344643,-0.06169765181344643,-0.03609476606703187,0.8,-0.13647856922602528,10.0,-0.050056550841183343,-0.052006550841183344,-0.02070099549903983,0.6499999999999999,-0.12735121800801727,30.0,-0.04980205664462091,-0.05205205664462091,-0.02487623414481318,0.75
9,2015-11,46,-0.027800424814704773,-0.05260561208757323,30.0,-0.02114422309259832,-0.02294422309259832,-0.012066656282465142,0.6,-0.07246376811594203,20.0,-0.03920102220150363,-0.041301022201503626,-0.01855119591286775,0.7,0.014986123959296946,30.0,-0.025327616733592413,-0.026977616733592412,-0.01750127269269361,0.55,-0.07221708294788776,30.0,-0.0258626220694675,-0.027512622069467498,-0.0180362780285687,0.55
10,2015-12,46,-0.10196154059857557,-0.17644156645081713,0.0,-0.11961332275056788,-0.12201332275056788,-0.04787249216984367,0.8,-0.16040703052728952,10.0,-0.10097440307716048,-0.10352440307716047,-0.03693279125515622,0.85,-0.06827012025901943,10.0,-0.11083605791232845,-0.11323605791232845,-0.025057884389948493,0.8,-0.17989515880357693,10.0,-0.09953796662543145,-0.10193796662543145,-0.023203551701941702,0.8
