fold,test_month,n_stocks,nifty_return,regime,avg_corr,nifty_vol,position_scale,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_bot10_gross,LightGBM_ls_spread_net,LightGBM_turnover,LightGBM_position_scale,LightGBM_n_long,LightGBM_n_short,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_bot10_gross,XGBoost_ls_spread_net,XGBoost_turnover,XGBoost_position_scale,XGBoost_n_long,XGBoost_n_short,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_bot10_gross,RandomForest_ls_spread_net,RandomForest_turnover,RandomForest_position_scale,RandomForest_n_long,RandomForest_n_short,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_bot10_gross,Ensemble_ls_spread_net,Ensemble_turnover,Ensemble_position_scale,Ensemble_n_long,Ensemble_n_short
1,2015-03,46,0.013305752464835889,normal,0.2062,0.1395,1.0,0.3480111008325624,80.0,0.01707066983993394,0.01407066983993394,-0.031132008524325672,0.042202678364259616,1.0,1.0,10,10,0.22799876657415974,80.0,0.023764602257929833,0.020764602257929834,-0.0023674263932027192,0.020132028651132554,1.0,1.0,10,10,0.27030527289546713,90.0,0.044352495198634094,0.04135249519863409,-0.02346123112800618,0.06181372632664027,1.0,1.0,10,10,0.3164353993216158,80.0,0.027109513863923927,0.024109513863923928,-0.02399422100008852,0.04510373486401245,1.0,1.0,10,10
2,2015-04,46,-0.0007105840245112321,normal,0.2453,0.1512,0.996,0.22738205365402403,66.66666666666666,0.048545089023512046,0.046358908667418,0.000844986480799013,0.04352530213254218,0.6666666666666666,0.996,9,9,0.13561517113783533,77.77777777777779,0.04641513478096717,0.0440714742418433,0.004081803699649133,0.03784799775699277,0.7222222222222222,0.996,9,9,0.2557508479802652,77.77777777777779,0.0558671117795077,0.05348564333238967,-0.005043610436727945,0.056351079327370705,0.7222222222222222,0.996,9,9,0.20444033302497688,88.88888888888889,0.06545972653354926,0.06303988762741507,0.004081803699649133,0.05681641114256453,0.7222222222222222,0.996,9,9
3,2015-05,46,0.0036821519722045493,normal,0.232,0.1421,1.0,0.18384212149244525,70.0,0.06629470802329405,0.06374470802329406,0.0045018634953074175,0.05669284452798664,0.8500000000000001,1.0,10,10,0.2821461609620721,70.0,0.0679617839125764,0.0654117839125764,-0.030631477536463392,0.0934932614490398,0.8500000000000001,1.0,10,10,0.18174529756398397,60.0,0.051278916111069196,0.0488789161110692,0.014213681270622868,0.03226523484044633,0.8,1.0,10,10,0.23465926611162502,70.0,0.0679617839125764,0.0654117839125764,0.0028397647045900988,0.060022019207986305,0.8500000000000001,1.0,10,10
4,2015-06,46,0.03953679868839952,normal,0.3314,0.1975,0.854,0.11711378353376502,75.0,0.05397840883507457,0.04417606114515368,0.03260418625122461,0.014410586086607866,0.75,0.854,8,8,-0.058402713536848595,62.5,0.014159297170129294,0.010010414783290417,0.08555228464718712,-0.06513286130540738,0.8125,0.854,8,8,0.24304656182547024,75.0,0.07669220043370155,0.06341351417038112,0.022198448467251806,0.04237441417934808,0.8125,0.854,8,8,0.10157261794634598,75.0,0.05397840883507457,0.04417606114515368,0.04907054532606786,0.0003483154366917332,0.75,0.854,8,8
5,2015-07,46,-0.06478229215445168,normal,0.2426,0.1342,1.0,-0.01868640148011101,20.0,-0.0703384015649945,-0.0722884015649945,-0.0720711614247462,-0.002167240140248286,0.6499999999999999,1.0,10,10,0.0625963613937712,20.0,-0.05028123286587732,-0.052531232865877325,-0.05949999051059871,0.004718757644721384,0.75,1.0,10,10,0.12451433857539315,30.0,-0.04676637282702846,-0.04916637282702846,-0.06809082703069602,0.016524454203667563,0.8,1.0,10,10,0.02793709528214616,20.0,-0.05874119496954132,-0.06099119496954132,-0.07203648914514002,0.008795294175598697,0.75,1.0,10,10
6,2015-08,46,0.020440481155317207,normal,0.2163,0.1438,1.0,0.0032685784767190872,40.0,-0.005798150852085413,-0.007748150852085412,-0.013639480698935552,0.00394132984685014,0.6499999999999999,1.0,10,10,-0.07234042553191489,50.0,-0.002968316413455731,-0.004768316413455731,0.01683668728443964,-0.023405003697895374,0.6,1.0,10,10,-0.087018193031144,40.0,-0.005671203346108202,-0.007621203346108201,-0.0006649157092519814,-0.00890628763685622,0.6499999999999999,1.0,10,10,-0.08442799876657416,50.0,-0.0029683164134557322,-0.004768316413455732,0.011669370982646235,-0.018237687396101966,0.6,1.0,10,10
7,2015-09,46,-0.008376825318830156,elevated,0.4807,0.2566,0.672,0.23687943262411346,66.66666666666666,0.014658960561882532,0.009010821497585062,-0.04200346518392615,0.03639715010118344,0.41666666666666663,0.672,6,6,0.16546407647240208,66.66666666666666,0.0027684326623724823,0.0010203867491143082,-0.05883968882530368,0.03972065763971839,0.41666666666666663,0.672,6,6,0.021399938328707985,33.33333333333333,-0.03320092829339577,-0.02281502381316196,-0.06989333013079524,0.023649294034732444,0.25,0.672,6,6,0.14671600370027751,50.0,-0.005196325018421734,-0.0041639304123794055,-0.056645929343002076,0.03323013410611799,0.3333333333333333,0.672,6,6
8,2015-10,46,-0.0278204834889899,normal,0.3396,0.2033,0.836,-0.07752081406105457,25.0,-0.05693096596698584,-0.04978878754840016,-0.029341634130300113,-0.027453681415469264,0.875,0.836,8,8,-0.13771199506629664,12.5,-0.07434736548430484,-0.06434889754487885,-0.035309362471770966,-0.03702477051847833,0.875,0.836,8,8,-0.13647856922602528,12.5,-0.04464458690238519,-0.03904712465039402,-0.03145768251987817,-0.014472752063775872,0.6875,0.836,8,8,-0.12735121800801727,25.0,-0.05693096596698584,-0.049632037548400156,-0.03791590296065109,-0.01997209267329585,0.8125,0.836,8,8
9,2015-11,46,-0.027800424814704773,normal,0.1158,0.1121,1.0,-0.05260561208757323,30.0,-0.02114422309259832,-0.023094223092598322,-0.012677566810133179,-0.012366656282465143,0.6499999999999999,1.0,10,10,-0.07246376811594203,20.0,-0.03920102220150363,-0.04145102220150363,-0.024849826288635878,-0.018851195912867755,0.75,1.0,10,10,0.014986123959296946,30.0,-0.025327616733592413,-0.027127616733592413,-0.011126344040898802,-0.01780127269269361,0.6,1.0,10,10,-0.07221708294788776,30.0,-0.0258626220694675,-0.0276626220694675,-0.011126344040898802,-0.018336278028568697,0.6,1.0,10,10
10,2015-12,46,-0.10196154059857557,normal,0.1578,0.1164,1.0,-0.17644156645081713,0.0,-0.11961332275056788,-0.12201332275056788,-0.07654083058072421,-0.04787249216984367,0.8,1.0,10,10,-0.16040703052728952,10.0,-0.10097440307716048,-0.10352440307716047,-0.06914161182200425,-0.03693279125515622,0.85,1.0,10,10,-0.06827012025901943,10.0,-0.11083605791232845,-0.11323605791232845,-0.09057817352237996,-0.025057884389948493,0.8,1.0,10,10,-0.17989515880357693,10.0,-0.09953796662543145,-0.10193796662543145,-0.08113441492348974,-0.023203551701941702,0.8,1.0,10,10
