month,regime,position_scale,avg_corr,nifty_vol,n_long,n_short,long_portfolio,short_portfolio,long_return_gross,long_return_net,ls_spread_net,turnover,nifty_return
2015-03,normal,1.0,0.2062,0.1395,10,10,"BRITANNIA.NS, MARUTI.NS, BAJFINANCE.NS, DIVISLAB.NS, KOTAKBANK.NS, ICICIBANK.NS, ASIANPAINT.NS, ADANIPORTS.NS, TCS.NS, BAJAJFINSV.NS","SHREECEM.NS, HEROMOTOCO.NS, JSWSTEEL.NS, POWERGRID.NS, LT.NS, AXISBANK.NS, BPCL.NS, WIPRO.NS, TITAN.NS, GRASIM.NS",0.027109513863923927,0.024109513863923928,0.04510373486401245,1.0,0.013305752464835889
2015-04,normal,0.996,0.2453,0.1512,9,9,"BRITANNIA.NS, EICHERMOT.NS, ULTRACEMCO.NS, SHREECEM.NS, BAJFINANCE.NS, M&M.NS, APOLLOHOSP.NS, SUNPHARMA.NS, BHARTIARTL.NS","LT.NS, HINDALCO.NS, HDFCBANK.NS, NTPC.NS, POWERGRID.NS, COALINDIA.NS, BPCL.NS, NESTLEIND.NS, RELIANCE.NS",0.06545972653354926,0.06303988762741507,0.05681641114256453,0.7222222222222222,-0.0007105840245112321
2015-05,normal,1.0,0.232,0.1421,10,10,"BRITANNIA.NS, EICHERMOT.NS, BAJFINANCE.NS, SHREECEM.NS, RELIANCE.NS, GRASIM.NS, APOLLOHOSP.NS, HDFCBANK.NS, NTPC.NS, ADANIPORTS.NS","POWERGRID.NS, HEROMOTOCO.NS, COALINDIA.NS, JSWSTEEL.NS, AXISBANK.NS, BHARTIARTL.NS, BAJAJFINSV.NS, HCLTECH.NS, TATASTEEL.NS, LT.NS",0.0679617839125764,0.0654117839125764,0.060022019207986305,0.8500000000000001,0.0036821519722045493
2015-06,normal,0.854,0.3314,0.1975,8,8,"BAJFINANCE.NS, EICHERMOT.NS, BRITANNIA.NS, ICICIBANK.NS, AXISBANK.NS, SHREECEM.NS, ADANIPORTS.NS, INDUSINDBK.NS","TITAN.NS, M&M.NS, LT.NS, JSWSTEEL.NS, ASIANPAINT.NS, APOLLOHOSP.NS, DRREDDY.NS, COALINDIA.NS",0.05397840883507457,0.04417606114515368,0.0003483154366917332,0.75,0.03953679868839952
2015-07,normal,1.0,0.2426,0.1342,10,10,"BRITANNIA.NS, EICHERMOT.NS, BAJFINANCE.NS, SHREECEM.NS, ICICIBANK.NS, ULTRACEMCO.NS, MARUTI.NS, ADANIPORTS.NS, AXISBANK.NS, HDFCBANK.NS","ITC.NS, WIPRO.NS, LT.NS, DRREDDY.NS, ONGC.NS, BAJAJ-AUTO.NS, TATACONSUM.NS, M&M.NS, APOLLOHOSP.NS, NESTLEIND.NS",-0.05874119496954132,-0.06099119496954132,0.008795294175598697,0.75,-0.06478229215445168
2015-08,normal,1.0,0.2163,0.1438,10,10,"EICHERMOT.NS, DIVISLAB.NS, BRITANNIA.NS, BAJAJFINSV.NS, ICICIBANK.NS, MARUTI.NS, SHREECEM.NS, ADANIPORTS.NS, UPL.NS, ULTRACEMCO.NS","APOLLOHOSP.NS, HINDALCO.NS, ITC.NS, NESTLEIND.NS, HINDUNILVR.NS, HCLTECH.NS, INFY.NS, DRREDDY.NS, TITAN.NS, WIPRO.NS",-0.0029683164134557322,-0.004768316413455732,-0.018237687396101966,0.6,0.020440481155317207
2015-09,elevated,0.672,0.4807,0.2566,6,6,"EICHERMOT.NS, BAJFINANCE.NS, BAJAJFINSV.NS, ADANIPORTS.NS, BRITANNIA.NS, TITAN.NS","HCLTECH.NS, NTPC.NS, WIPRO.NS, TATACONSUM.NS, DRREDDY.NS, INFY.NS",-0.005196325018421734,-0.0041639304123794055,0.03323013410611799,0.3333333333333333,-0.008376825318830156
2015-10,normal,0.836,0.3396,0.2033,8,8,"BRITANNIA.NS, AXISBANK.NS, COALINDIA.NS, KOTAKBANK.NS, ADANIPORTS.NS, EICHERMOT.NS, BAJFINANCE.NS, UPL.NS","TATASTEEL.NS, ONGC.NS, HCLTECH.NS, WIPRO.NS, ITC.NS, JSWSTEEL.NS, TCS.NS, DRREDDY.NS",-0.05693096596698584,-0.049632037548400156,-0.01997209267329585,0.8125,-0.0278204834889899
2015-11,normal,1.0,0.1158,0.1121,10,10,"BAJAJFINSV.NS, MARUTI.NS, ADANIPORTS.NS, UPL.NS, DIVISLAB.NS, DRREDDY.NS, INDUSINDBK.NS, SHREECEM.NS, BAJFINANCE.NS, BHARTIARTL.NS","BAJAJ-AUTO.NS, WIPRO.NS, ONGC.NS, NTPC.NS, ITC.NS, TATASTEEL.NS, HINDALCO.NS, TATACONSUM.NS, M&M.NS, RELIANCE.NS",-0.0258626220694675,-0.0276626220694675,-0.018336278028568697,0.6,-0.027800424814704773
2015-12,normal,1.0,0.1578,0.1164,10,10,"BAJFINANCE.NS, BAJAJFINSV.NS, TITAN.NS, AXISBANK.NS, MARUTI.NS, TCS.NS, SHREECEM.NS, INDUSINDBK.NS, BPCL.NS, DRREDDY.NS","TATASTEEL.NS, ONGC.NS, ITC.NS, EICHERMOT.NS, RELIANCE.NS, INFY.NS, BAJAJ-AUTO.NS, POWERGRID.NS, NTPC.NS, HCLTECH.NS",-0.09953796662543145,-0.10193796662543145,-0.023203551701941702,0.8,-0.10196154059857557
