year_month,regime,avg_pairwise_corr,nifty_vol_20d,position_scale
2013-03,normal,0.0,0.0,1.0
2013-04,normal,0.0,0.0,1.0
2013-05,normal,0.2168,0.1637,0.958
2013-06,normal,0.214,0.1861,0.889
2013-07,normal,0.271,0.2003,0.845
2013-08,normal,0.1385,0.1617,0.964
2013-09,elevated,0.3466,0.2769,0.61
2013-10,elevated,0.2898,0.3026,0.6
2013-11,normal,0.1783,0.1497,1.0
2013-12,normal,0.2447,0.1769,0.917
2014-01,normal,0.2027,0.1355,1.0
2014-02,normal,0.1739,0.1303,1.0
2014-03,normal,0.1558,0.115,1.0
2014-04,normal,0.1177,0.1112,1.0
2014-05,normal,0.0993,0.107,1.0
2014-06,normal,0.1068,0.1611,0.966
2014-07,normal,0.1418,0.1331,1.0
2014-08,normal,0.2042,0.1326,1.0
2014-09,normal,0.1535,0.1225,1.0
2014-10,normal,0.2356,0.1271,1.0
2014-11,normal,0.2525,0.1413,1.0
2014-12,normal,0.1109,0.0943,1.0
2015-01,normal,0.2601,0.1386,1.0
2015-02,normal,0.2025,0.1886,0.881
2015-03,normal,0.2062,0.1395,1.0
2015-04,normal,0.2453,0.1512,0.996
2015-05,normal,0.232,0.1421,1.0
2015-06,normal,0.3314,0.1975,0.854
2015-07,normal,0.2426,0.1342,1.0
2015-08,normal,0.2163,0.1438,1.0
2015-09,elevated,0.4807,0.2566,0.672
2015-10,normal,0.3396,0.2033,0.836
2015-11,normal,0.1158,0.1121,1.0
2015-12,normal,0.1578,0.1164,1.0
2016-01,normal,0.3055,0.1307,1.0
2016-02,normal,0.3297,0.1828,0.899
2016-03,normal,0.3242,0.217,0.794
2016-04,normal,0.293,0.1743,0.925
2016-05,normal,0.2939,0.1617,0.964
2016-06,normal,0.1846,0.1452,1.0
2016-07,normal,0.1858,0.1296,1.0
2016-08,normal,0.1074,0.0934,1.0
2016-09,normal,0.1952,0.1099,1.0
2016-10,normal,0.3013,0.1309,1.0
2016-11,normal,0.2845,0.1324,1.0
2016-12,normal,0.3211,0.1891,0.88
2017-01,normal,0.3607,0.1274,1.0
2017-02,normal,0.1854,0.0996,1.0
2017-03,normal,0.1528,0.0919,1.0
2017-04,normal,0.1979,0.0924,1.0
2017-05,normal,0.109,0.0788,1.0
2017-06,normal,0.1619,0.0966,1.0
2017-07,normal,0.0942,0.0563,1.0
2017-08,normal,0.0982,0.0759,1.0
2017-09,normal,0.2298,0.1167,1.0
2017-10,normal,0.2358,0.1006,1.0
2017-11,normal,0.0833,0.0769,1.0
2017-12,normal,0.1052,0.0821,1.0
2018-01,normal,0.2298,0.0987,1.0
2018-02,normal,0.1065,0.0711,1.0
2018-03,normal,0.276,0.1382,1.0
2018-04,normal,0.2867,0.1402,1.0
2018-05,normal,0.1602,0.089,1.0
2018-06,normal,0.1564,0.1061,1.0
2018-07,normal,0.2132,0.0978,1.0
2018-08,normal,0.0943,0.0711,1.0
2018-09,normal,0.0724,0.0883,1.0
2018-10,normal,0.2422,0.1261,1.0
2018-11,elevated,0.3138,0.2367,0.733
2018-12,normal,0.1659,0.114,1.0
2019-01,normal,0.3617,0.1536,0.989
2019-02,normal,0.1465,0.1068,1.0
2019-03,normal,0.2191,0.1177,1.0
2019-04,normal,0.1705,0.1015,1.0
2019-05,normal,0.1418,0.1142,1.0
2019-06,normal,0.298,0.1933,0.867
2019-07,normal,0.2552,0.1188,1.0
2019-08,normal,0.2567,0.1173,1.0
2019-09,normal,0.2596,0.1692,0.941
2019-10,elevated,0.3119,0.2591,0.664
2019-11,normal,0.1981,0.1268,1.0
2019-12,normal,0.1425,0.0842,1.0
2020-01,normal,0.1735,0.0913,1.0
2020-02,normal,0.2238,0.1249,1.0
