fold,test_month,n_stocks,nifty_return,LightGBM_rank_ic,LightGBM_hit_rate_pct,LightGBM_top10_gross,LightGBM_top10_net,LightGBM_ls_spread_net,LightGBM_turnover,XGBoost_rank_ic,XGBoost_hit_rate_pct,XGBoost_top10_gross,XGBoost_top10_net,XGBoost_ls_spread_net,XGBoost_turnover,RandomForest_rank_ic,RandomForest_hit_rate_pct,RandomForest_top10_gross,RandomForest_top10_net,RandomForest_ls_spread_net,RandomForest_turnover,Ensemble_rank_ic,Ensemble_hit_rate_pct,Ensemble_top10_gross,Ensemble_top10_net,Ensemble_ls_spread_net,Ensemble_turnover
1,2016-03,46,0.027751114084171892,0.0507554733271662,60.0,0.03323353475457104,0.03023353475457104,0.006063485616651092,1.0,-0.003638606228800493,60.0,0.01741099023555229,0.014410990235552291,-0.028636463999167187,1.0,0.03681776133209991,70.0,0.01078202377156694,0.0077820237715669404,-0.023470393036912583,1.0,0.04150477952513105,60.0,0.031303832604009804,0.028303832604009805,0.006790659005645638,1.0
2,2016-04,46,0.03881352735889965,-0.052975639839654635,70.0,0.022694188911548372,0.020894188911548373,-0.008571806014886094,0.6,0.02312673450508788,70.0,0.0589535973854732,0.057153597385473195,-0.001204170334663475,0.6,0.007585568917668825,70.0,0.04974659805124528,0.04779659805124528,-0.0028923576517391816,0.6499999999999999,-0.012765957446808512,60.0,0.032533595605410665,0.030733595605410665,-0.004201947060985273,0.6
3,2016-05,46,0.0739034093557742,-0.1382053654024052,80.0,0.062340749588141176,0.059940749588141176,-0.034879400113459205,0.8,0.027690410114091887,80.0,0.09517473347134894,0.09262473347134895,0.0037330652346897475,0.8500000000000001,0.2239284613012643,90.0,0.12104696132130446,0.11849696132130447,0.0392892267659406,0.8500000000000001,-0.08122109158186865,90.0,0.09035258562310655,0.08795258562310655,-0.007021327693417109,0.8
4,2016-06,46,0.07806144247902785,0.6247918593894543,100.0,0.15292158196254962,0.1505215819625496,0.11039287024766174,0.8,0.4963922294172063,100.0,0.1781958643418214,0.1756458643418214,0.10885803133764821,0.8500000000000001,0.5885291396854764,100.0,0.17116942154011233,0.16891942154011233,0.13252358218120286,0.75,0.6472402096823928,100.0,0.16766854768716746,0.16496854768716745,0.1219193659028055,0.9
5,2016-07,46,0.027829868968168636,0.4284304656182547,100.0,0.0850075927344531,0.0832075927344531,0.08671850833134455,0.6000000000000001,0.4237434474252236,100.0,0.06656519038489035,0.06521519038489035,0.07474025452580757,0.44999999999999996,0.38415047795251306,90.0,0.05837873845325127,0.05687873845325127,0.0646970113255105,0.5,0.4318840579710145,100.0,0.08661308075357751,0.08526308075357751,0.11141411966262564,0.44999999999999996
6,2016-08,46,0.0048497252552174444,0.11637372802960222,60.0,0.02548074259593483,0.02353074259593483,0.027191694725433337,0.6499999999999999,0.3095282146160962,80.0,0.039918632073207526,0.03826863207320753,0.05175171226634884,0.55,0.3345667591736047,90.0,0.04881234896399427,0.04716234896399427,0.044228535812739805,0.55,0.25044711686709836,80.0,0.03741075200534742,0.03561075200534742,0.0457523339087179,0.6
7,2016-09,46,-0.06212920469914317,-0.15572001233425842,20.0,-0.09161035256866515,-0.09296035256866515,-0.036032458786164914,0.45,-0.20764724020968237,20.0,-0.08302630341567237,-0.08422630341567237,-0.05799447281641301,0.4,-0.23724946037619488,30.0,-0.06458711787831886,-0.06608711787831886,-0.05517192708710948,0.5,-0.21282762873882208,20.0,-0.08302630341567238,-0.08422630341567239,-0.054315442772061205,0.4
8,2016-10,46,-0.04738134087789096,-0.09207523897625655,20.0,-0.059234378188521356,-0.060884378188521354,-0.028683337237416714,0.55,-0.10983657107616406,30.0,-0.0520865377356714,-0.0534365377356714,-0.014358011392990186,0.45,-0.21147086031452358,20.0,-0.05404749309797076,-0.05554749309797076,-0.02216117157183184,0.5,-0.10786308973172987,30.0,-0.039924228514079084,-0.041424228514079085,-0.016729143270072314,0.5
9,2016-11,46,0.011307394585830128,0.16916435399321614,70.0,0.03463423104647131,0.03223423104647131,0.02850813614843963,0.8,0.09515880357693493,50.0,0.026272364591874618,0.024022364591874616,0.026147598897836206,0.75,0.22146160962072153,70.0,0.044599571912348715,0.04234957191234871,0.03195968449840878,0.75,0.12032069071847054,50.0,0.017142197674526342,0.014742197674526343,0.003973034099010172,0.8
10,2016-12,46,0.09639725514595693,0.354918285538082,90.0,0.15000229765363432,0.14820229765363432,0.08759797815168774,0.6,0.5253777366635831,90.0,0.15000229765363432,0.14850229765363432,0.10461395312181912,0.5,0.5308048103607771,90.0,0.14298890198635492,0.14148890198635491,0.09853888062176192,0.5,0.41634289238359545,90.0,0.15000229765363432,0.14850229765363432,0.09897214548917027,0.5
11,2017-01,46,0.07058185897362441,0.3171754548257786,90.0,0.1004961099944635,0.0983961099944635,0.06475114078120683,0.7,0.23687943262411346,80.0,0.08115590169015344,0.07860590169015344,0.0346074649182168,0.8500000000000001,0.2579710144927536,80.0,0.09007683405375629,0.08752683405375629,0.044530157751873814,0.8500000000000001,0.2950971322849214,80.0,0.08181795536765048,0.07956795536765048,0.04252541667222389,0.75
12,2017-02,46,0.026559231565686233,0.09207523897625655,60.0,0.009628315492638217,0.007228315492638217,-0.02688025326465537,0.8,0.3007708911501696,80.0,0.059362047588710234,0.05711204758871023,0.06250449809457345,0.75,0.2913968547641073,70.0,0.04726836813410565,0.045018368134105646,0.056631000075037206,0.75,0.20925069380203515,70.0,0.037142373966736766,0.03474237396673677,0.010000701306247615,0.8
13,2017-03,46,0.04991115938728706,0.31964230650632125,90.0,0.08605962625262116,0.08350962625262116,0.03682128347899889,0.8500000000000001,0.4588960838729571,90.0,0.08393497622352145,0.08123497622352145,0.07153229969323294,0.9,0.5184705519580635,100.0,0.0788828015451256,0.0764828015451256,0.08995836107953767,0.8,0.42695035460992914,100.0,0.10130268248262428,0.09860268248262428,0.08661567597985037,0.9
